smiles,prediction,faithfulness_score,validation_passed,rejection_reason,generation_attempts,n_toxicophores,score_causal,score_counterfactual,score_grounding
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.6601082682609558,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](OC)[C@@H](C)O5)[C@@H](OC(=O)O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,0.7709599733352661,1.0,True,,1,5,1.0,1.0,1.0
CC(C)CCOC(=O)c1ccccc1,0.6604260206222534,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,0.0
CC(C)COC(=O)c1ccccc1O,0.7396264672279358,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,0.0
CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,0.5284005403518677,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,0.0
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,0.9419375061988831,1.0,True,,1,1,1.0,1.0,1.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.9832131862640381,1.0,True,,1,4,1.0,0.5,1.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.9482024908065796,1.0,True,,1,3,1.0,1.0,1.0
F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,0.9999918937683105,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.9657278656959534,1.0,True,,1,1,1.0,1.0,1.0
Brc1nc2ccccc2s1,0.7212277054786682,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,0.0
N#CCc1ccccc1,0.5143569707870483,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,0.0
CN1CC(O)C2=C/C(=N/NC(N)=O)C(=O)C=C21,0.5213086605072021,1.0,True,,1,2,1.0,1.0,1.0
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.9993036985397339,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
